id;categoryId;name;setName;description;position;keywords;version
0;0;Hydraulikschere;Hydraulisches Rettungsgerät;Die Hydraulikschere gehört zum hydraulischen Rettungsgerät und wird vor allem während der Fahrzeugrettung verwendet.;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Ausziehfach \"Hydraulisches Rettungsgerät\"";hydraulik,rettungsgerät,schere,schneiden,metall;1
1;0;Hydraulikspreizer;Hydraulisches Rettungsgerät;Der Hydraulikspreizer gehört zum hydraulischen Rettungsgerät und wird vor allem während der Fahrzeugrettung verwendet.;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Ausziehfach \"Hydraulisches Rettungsgerät\"";hydraulik,rettungsgerät,spreizer,spreizen,heben,metall,beton;1
2;0;Hydraulikschläuche;Hydraulisches Rettungsgerät;Hydraulikschläuche für die Verwendung im Hydraulischen Rettungsgerät;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Fach \"Hydraulikschläuche\"";hydraulik,rettungsgerät,schläuche;1
3;0;Hydraulik Verteiler ;Hydraulisches Rettungsgerät;Der Verteiler ermöglicht das schnelle Umschalten zwischen Schere und Spreizer;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Ausziehfach \"Hydraulisches Rettungsgerät\"";hydraulik,rettungsgerät,verteiler;1
4;0;Hydrauliköl;Hydraulisches Rettungsgerät;Hydrauliköl für das Hydraulische Rettungsgerät;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Ausziehfach \"Hydraulisches Rettungsgerät\"";hydraulik,rettungsgerät,öl;1
5;0;Hydraulikaggregat;Hydraulisches Rettungsgerät;Das Hydraulikaggregat erzeugt den für im Rettungsgerät benötigten Druck. Der Höchstdruck liegt bei bis zu 800bar;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Ausziehfach \"Hydraulisches Rettungsgerät\"";hydraulik,rettungsgerät,aggregat;1
6;0;Kettensäge;Kettensäge;Mit der Kettensäge wird Bauholz abgelängt, Bäume gefällt und Windbruch beräumt.;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Ausziehfach \"Kettensäge\" (links)";kettensäge,schneiden,holz;1
7;0;Rettungskettensäge;Kettensäge;Im Unterschied zur normalen Kettensäge verfügt die Rettungskettensäge über angepasste Griffstücke und die Möglichkeit einen Tiefenbegrenzer anzubauen;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Ausziehfach \"Kettensäge\" (rechts)";kettensäge,rettungssäge,tiefenbegrenzer,schneiden,holz,motor;1
8;0;Werkzeugsatz Kettensägen;Kettensäge;Mit dem Werkzeugsatz wird die Wartung von Kettensäge und Kette durchgeführt.;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Ausziehfach \"Kettensäge\" (rechts)";kettensäge,werkzeug,instandhaltung,holz,motor;1
9;0;Stromerzeuger 3kVA;Stromerzeuger;Der Stromerzeuger 3kVA besitzt gerade genug Leistung um einen Wasserkocher zu betreiben…vielleicht.;Geräteraum 1 Fahrerseite vorne - Unterer Bereich;strom,energieversorgung,motor;1
10;0;Trennschleifer;Trennschleifer;Der Trennschleifer wird zum Schneiden von Metall, Gestein und Beton genutzt.;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Ausziehfach \"Trennschleifer\"";schneiden,trennen,motor;1
11;0;Werkzeugsatz Trennschleifer;Trennschleifer;Der Werkzeugsatz Trennschleifer wird für die Instandhaltung des Trennschleifers und das Wechseln der Scheibe verwendet.;"Geräteraum 1 Fahrerseite vorne - Mittlerer Bereich - Ausziehfach \"Trennschleifer\"";schneiden,trennen,instandhaltung;1
